appid,windows_req,mac_req,linux_req,required_age,awards
220,"Minimum: OS *: Windows 7, Vista, XP Processor: 1.7 Ghz Memory: 512 MB RAM Graphics: DirectX 8.1 level Graphics Card (requires support for SSE) Storage: 6500 MB available space","Minimum: OS: Leopard 10.5.8, Snow Leopard 10.6.3, or higher Memory: 1 GB RAM Graphics: Nvidia GeForce8 or higher, ATI X1600 or higher, Intel HD 3000 or higher",,0,
240,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection","Minimum: 1.7 GHz Processor, 512MB RAM, Mouse, Keyboard, Internet Connection",0,
280,"Minimum: 1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection Recommended: 2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection","Minimum: OS:OS X version Leopard 10.5.8, Snow Leopard 10.6.3 Memory: 1GB RAM Graphics: NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Network: Internet Connection Other: Mouse, Keyboard","Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Network: Broadband Internet connection Hard Drive: 8 GB available space Sound Card: OpenAL Compatible Sound Card",0,
300,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection",,0,
320,"Minimum: 1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection Recommended: 2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection",,0,
340,"Minimum: Pentium 4 2.4GHz or AMD 2800+ Processor, 1GB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection",,,0,
360,"Minimum: OS *: Windows® 7 (32/64-bit)/Vista/XP Processor: 1.7 GHz Processor, requires support for SSE Memory: 1024 MB RAM DirectX: Version 8.1 Network: Broadband Internet connection Storage: 4 GB available space","Minimum: OS: OS X 10.5.8 Processor: Dual core from Intel Memory: 2 GB RAM Graphics: nVidia 320M or higher, or Radeon 7000 or higher, or Intel HD 3000 or higher Network: Broadband Internet connection Storage: 4 GB available space","Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 2 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Network: Broadband Internet connection Storage: 4 GB available space Sound Card: OpenAL Compatible Sound Card",0,
380,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection",,0,
400,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection",,0,
420,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection","Minimum: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, 1GB RAM, NVIDIA GeForce 8 or higher, ATI X1600 or higher, or Intel HD 3000 or higher Mouse, Keyboard, Internet Connection",,0,
440,Minimum: OS *: Windows® 7 (32/64-bit)/Vista/XP Processor: 1.7 GHz Processor or better Memory: 512 MB RAM DirectX: Version 8.1 Network: Broadband Internet connection Storage: 15 GB available space,"Minimum: OS: OS X version Leopard 10.5.8 and above Processor: 1.7 GHz Processor or better Memory: 1 GB RAM Graphics: NVIDIA GeForce 8 or higher, ATI X1600 or higher, Intel HD 3000 or higher Network: Broadband Internet connection Storage: 15 GB available space","Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 1 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Network: Broadband Internet connection Storage: 15 GB available space Sound Card: OpenAL Compatible Sound Card",0,
500,"Minimum: Supported OS: Windows® 7 32/64-bit / Vista 32/64 / XP Processor: Pentium 4 3.0GHz Memory: 1 GB Graphics: 128 MB, Shader model 2.0, ATI 9600, NVidia 6600 or better Hard Drive: At least 7.5 GB of free space Sound Card: DirectX 9.0c compatible sound card","OS: MacOS X 10.6.4 or higher (Snow Leopard Graphics Update required) Processor: Dual core Intel processor, 2GHz or better Video Card: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000 Not supported: OS X 10.5.x, ATI X1600 or X1900 graphics, NVIDIA GeForce 7 graphics or Intel graphics less than Intel HD 3000.",,0,Award
550,"Minimum: OS *: Windows® 7 32/64-bit / Vista 32/64 / XP Processor: Pentium 4 3.0GHz Memory: 2 GB RAM Graphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better DirectX: Version 9.0c Storage: 13 GB available space Sound Card: DirectX 9.0c compatible sound card","Minimum: OS: MacOS 10.7 Processor: Dual core Intel processor, 2GHz or better Memory: 2 GB RAM Graphics: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000 Storage: 13 GB available space Additional Notes: Not supported: OS X 10.5.x, ATI X1600 or X1900 graphics, NVIDIA GeForce 7 graphics or Intel graphics less than Intel HD 3000.","Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 2 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Storage: 13 GB available space Sound Card: OpenAL Compatible Sound Card",0,
570,"Minimum: OS *: Windows 7 or newer Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 DirectX: Version 11 Network: Broadband Internet connection Storage: 60 GB available space Sound Card: DirectX Compatible","Minimum: OS: macOS 10.15 or newer Processor: Dual core from Intel Memory: 4 GB RAM Graphics: Metal-capable GPU (AMD GCN-based GPU or newer, NVIDIA Kepler-based GPU or newer, Intel HD 4000 or newer) Network: Broadband Internet connection Storage: 60 GB available space","Minimum: OS: Ubuntu 12.04 or newer Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: AMD GCN+, NVIDIA Kepler+, or Intel HD 5000-series or newer Network: Broadband Internet connection Storage: 60 GB available space Sound Card: OpenAL Compatible Sound Card",0,
630,"Minimum: OS *: Windows® 7 / Vista / Vista64 / XP Processor: Pentium 4 3.0GHz Memory: 1 GB for XP / 2GB for Vista Graphics: DirectX 9 compatible video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better Hard Drive: At least 2.5 GB of free space Sound: DirectX 9.0c compatible sound card",,,0,
620,"Minimum: OS *: Windows 7 / Vista / XP Processor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher) Memory: 2 GB RAM Graphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher). DirectX: Version 9.0c Storage: 8 GB available space Sound Card: DirectX 9.0c compatible",Minimum: OS: MAC OS X 10.6.7 or higher Processor: Intel Core Duo Processor (2GHz or better) Memory: 2 GB RAM Graphics: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000 Storage: 8 GB available space,"Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 2 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Storage: 8 GB available space Sound Card: OpenAL Compatible Sound Card",0,
659,"Minimum: OS *: Windows 7 / Vista / XP Processor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher) Memory: 2 GB RAM Graphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher). DirectX: Version 9.0c Storage: 8 GB available space Sound Card: DirectX 9.0c compatible",Minimum: OS: MAC OS X 10.6.7 or higher Processor: Intel Core Duo Processor (2GHz or better) Memory: 2 GB RAM Graphics: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000 Storage: 8 GB available space,"Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 2 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Storage: 8 GB available space Sound Card: OpenAL Compatible Sound Card",0,
730,Minimum: OS: Windows® 10 Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher Memory: 8 GB RAM Graphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0 DirectX: Version 11 Storage: 85 GB available space,Minimum: OS: MacOS X 10.11 (El Capitan) or later Processor: Intel Core Duo Processor (2GHz or better) Memory: 2 GB RAM Graphics: ATI Radeon HD 2400 or better / NVIDIA 8600M or better Storage: 15 GB available space,Minimum: OS: Ubuntu 20.04 Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higher Memory: 8 GB RAM Graphics: AMD GCN+ or NVIDIA Kepler+ with up-to-date Vulkan drivers.  Support for VK_EXT_graphics_pipeline_library highly recommended. Storage: 85 GB available space Sound Card: Highly recommended,0,Award
1002,"Minimum: Pentium3 800 MHz (or compatible), 256 MB RAM, GeForce 2 (or compatible), Windows 98, Internet connection for Steam Will be choppy with 8 AI players or in a big online game. Multi mice will only work with Windows XP Recommended: Pentium4 1500 MHz (or compatible), 512MB RAM, DirectX 9 compatible graphics card, Windows XP, Internet connection for Steam Will work fine with most DirectX 9 compatible graphics cards.",,,0,
1200,Minimum: OS: Windows XP Processor: 1.2 GHZ or Equivalent Memory: 512 MB RAM Graphics: 64 MB DX9 Compliant Hard Drive: 2 GB free hard drive space Sound: DX 8.1 Compatible Audio,"OS: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, or later. Processor: Intel Mac Memory: 512 MB RAM Graphics: Nvidia or ATI GPU (Intel GPUs unsupported) Hard Drive: 2 GB free hard drive space","Minimum: OS: Ubuntu 12.04 LTS, fully updated Processor: 1.2 GHZ or Equivalent Memory: 512 MB RAM Graphics: Nvidia, ATI, or Intel GPU with hardware-accelerated drivers Hard Drive: 2 GB free hard drive space",0,Award
1250,Minimum: OS *: Windows XP/Vista Processor: 1.2 GHZ or Equivalent Memory: 1 GB RAM Graphics: 64 MB DX9 Compliant Hard Drive: 2 GB free hard drive space Sound: DX 8.1 Compatible Audio,"OS: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, or later. Processor: Intel Mac Graphics: Nvidia or ATI GPU (Intel GPUs unsupported)","Minimum: OS: Ubuntu 12.04 LTS, fully updated Processor: 1.2 GHZ or Equivalent Memory: 1 GB RAM Graphics: Nvidia, ATI, or Intel GPU with hardware-accelerated drivers Hard Drive: 2 GB free hard drive space",0,
1530,Supported OS: Windows XP or Vista Processor: 2.0 GHz CPU Memory: 512 MB RAM Graphics: GeForce 6200 or RADEON 9600 series Hard Drive: 64 MB free space,"OS: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, or later. Processor: Intel Core Duo 1.66GHz+ Memory: 1GB of RAM Graphics: 64MB of video memory Hard Drive: 64 MB",Processor: 2 Ghz Memory: 1Gb Graphics: 64Mb of memory Hard Drive: 70Mb,0,
1600,"Minimum: Windows XP, 550Mhz CPU, 128 MB RAM, D3D Video Card with 32MB RAM (DirectX 9.0b drivers), DX9 Sound Card, 590MB hard drive space, Internet or LAN connection for multiplayer Recommended: 1GHz+ CPU, 256 MB RAM, D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers), 1GB hard-drive space",,,0,
1610,"Minimum: Pentium Processor; Windows XP; 128MB RAM; 800x600 screen resolution; 16bit colour; 300 MB hard drive space; DirectX 8.1 or higher, Windows Compatible Sound Card.",,,0,
1620,"Minimum Configuration: Windows 95/98, Pentium 133 Mhz, 32 MB RAM minimum, 373 MB free hard drive space, Microsoft® compatible mouse, SVGA Graphics Adapter, DirectX compatible sound card",,,0,
1630,"Minimum Configuration: Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAM Recommended Configuration: Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM",,,0,
1640,"Minimum Configuration: Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAM Recommended Configuration: Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM",,,0,
1690,"Minimum System Requirements: Pentium 500MHz or better class machine, Windows XP, 64 megabytes RAM or better, 1024x768 or better screen resolution, 16 bit color display or better, DirectX 7.0 (or better), A video card with 3D acceleration, 500 megs hard drive space, A sound card capable of supporting MP3 and DirectSound playback. Sound card must be DirectX 7.0 (or better) compatible.",,,0,
1670,"Minimum System Requirements: Windows XP, 1Ghz Athlon or Pentium III CPU, 256MB RAM; DirectX 9.0 Compatible Video Card (ex: Geforce 2/4MX or Radeon 7500), DirectX 9.0 Compatible Sound Card, 2 Gigabyte free space on Hard drive, DirectX 9.0c",,,0,
1700,"Minimum: Windows XP, 500 MHz Pentium ® III or compatible, 64 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 16 MB, 750 MB fixed disks Recommended: 900 MHz Pentium ® III or compatible, 256 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 32MB, 750 MB fixed disks",,,0,
1840,"Minimum: OS *: Windows 7 / Vista (Windows 7 64 bit suggested) Processor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher) Memory: 2GB (4 GB suggested) Graphics: NVIDIA GeForce 200 series card or better, or AMD Radeon 3000 series or better (NVIDIA GeForce 400 series or AMD Radeon 5000 series preferred) Monitor: 1366 x 768 (1920 x 1080 suggested) Hard Drive: At least 15 GB of Space Sound: DirectX 9.0c compatible USB headset with mic (suggested)",,,0,
1900,Minimum: Windows XP / Vista / 7 / 8 Intel/AMD Single Core CPU with 2.0 GHz 1 GB RAM DirectX 9.0 compatible graphics card with 128 MB RAM DirectX compatible sound card 2.0 GB free disk space Broad band Internet connection Keyboard and Mouse,,Minimum: Ubuntu 21.04 Intel/AMD Single Core CPU with 2.0 GHz 1 GB RAM DirectX 9.0 compatible graphics card with 128 MB RAM DirectX compatible sound card 2.0 GB free disk space Broad band Internet connection Keyboard and Mouse,0,Award
1930,"Minimum: OS *: Windows XP / Vista / 7 / 8 Processor: Dual Core CPU 2.0 GHz Memory: 1 GB Graphics: GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b support Hard Drive: 6 GB Free Space Sound: DirectX 9.0c compatible Misc: Keyboard, Mouse, Broadband Internet Connection","Minimum: OS: OS X El Capitan Processor: Intel Mac Core Core CPU Memory: 1 GB Graphics: GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b support Hard Drive: 6 GB Free Space Sound: Soundcard Misc: Keyboard, Mouse, Broadband Internet Connection","Minimum: OS: Ubuntu 12.04.5 LTS or SteamOS Processor: Dual Core CPU 2.0 GHz Memory: 1 GB Graphics: GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b support Hard Drive: 6 GB Free Space Sound: DirectX 9.0c compatible Misc: Keyboard, Mouse, Broadband Internet Connection",0,Award
2100,"Minimum: AMD Athlon™, Pentium® 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection Recommended: AMD Athlon™, Pentium® 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection",,,0,
2130,"Minimum: AMD Athlon™, Pentium® 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection Recommended: AMD Athlon™, Pentium® 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection",,,0,
2200,"3-D Hardware Accelerator with full OpenGL® support, Pentium® 233 Mhz MMX®processor with 8 MB Video Card or Pentium II 266 Mhz processor with 4 MB Video Card, or AMD® 350 Mhz K6®-2 processor with 4 MB Video Card, 64 MB RAM, a 100% Windows® XP/Vista compatible computer system (including compatible 32-bit drivers for video card, sound card and input devices), 25 MB of uncompressed hard disk space for game files (Minimum Install), plus 45 MB for the Windows swap file, 100% DirectX 3.0 or higher compatible sound card, 100% Microsoft-compatible mouse and driver, joystick (optional)",,,0,
2210,Operating System: Windows® XP Processor: Intel® Pentium® 4 2.0 GHz or AMD® Athlon® XP 2000+ processor or higher Memory: 512MB RAM Hard Disk Space: 2.8GB of uncompressed free hard disk space (plus 400MB for Windows® swap file) Video: 100% DirectX® 9.0c compatible 64MB 3D hardware accelerated video card required Sound: 100% DirectX® 9.0c compatible 16-bit sound card and latest drivers DirectX® Version: 9.0c,,,18,
2280,OS Version: Windows 10 64-bit Processor: Intel Core i5-3570 @3.4GHz or AMD Ryzen 5 1400 @3.5GHz Memory: 8GB System RAM Graphics: NVIDIA Geforce GTX 650 TI (2GB) or AMD HD 7750 (1GB) Direct X: Version 12 Disk Space: Minimum 2GB free space on hard drive,,,0,
2270,Minimum: A 100% Windows XP/Vista-compatible computer system,,,0,
2310,Minimum Spec (1080p/60 HZ) Win 10 64-bit version Intel Core i5-3570 @3.4 GHz or AMD Ryzen 3 1300X @3.5 GHz NVIDIA GeForce GTX 650 TI (2GB) or AMD HD 7750 (1GB) 8GB System RAM Minimum 2GB free space on hard drive (additional space required for add-on downloads) High speed broadband connection required for online play,,,18,
2320,Minimum Spec (1080p/60 HZ) Win 10 64-bit version Intel Core i5-3570 @ 3.4GHz or AMD Ryzen 3 1300X @ 3.5GHz NVIDIA GeForce GTX 650 TI (2GB) or AMD HD 7750 (1GB) 8GB System RAM Minimum 2GB free space on hard drive High speed broadband connection required for online play,,,18,
2400,"Minimum: 1.8 GHz Processor, 512MB RAM, DirectX 8 level graphics card (1024x768), Windows 2000/XP/ME/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c Recommended: 2.8 GHz Processor, 1024MB RAM, DirectX 9 capable Graphics Card (1024x768), Windows 2000/XP/ME/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c",,,0,
